timestamp,episode,blue_steps,blue_epsilon,qtable_states,blue_return,blue_len,blue_food,blue_dead,blue_best_score,blue_total_food,blue_total_deaths,last_td_error
1778654807,142,31618,0.02,12544,-3082.4299999999957,231,4,0,16,657,57,-5.4974849533119095
1778654832,143,31881,0.02,12588,-1719.2300000000034,263,8,1,16,665,58,-116.56
1778654848,144,32054,0.02,12624,-2005.6999999999969,173,2,1,16,667,59,-122.64
1778654865,145,32235,0.02,12646,-1120.7100000000016,181,5,0,16,672,59,9.250197330648117
1778654881,146,32392,0.02,12680,-331.6200000000007,157,6,1,16,678,60,-122.32000000000001
1778654898,147,32577,0.02,12716,-1901.0800000000027,185,5,1,16,683,61,-122.4
1778654911,148,32709,0.02,12768,725.7999999999996,132,7,1,16,690,62,-115.2
1778654927,149,32875,0.02,12813,918.6399999999988,166,10,1,16,700,63,-120.32
1778654946,150,33081,0.02,12840,-2298.549999999997,206,3,0,16,703,63,5.185971231304805
1778654965,151,33274,0.02,12894,-1245.59,193,5,1,16,708,64,-122.4
1778654972,152,33349,0.02,12906,-723.2800000000003,75,2,1,16,710,65,-117.03999999999999
1778655010,153,33747,0.02,12977,-2981.4200000000037,398,13,1,16,723,66,-116.16
1778655031,154,33964,0.02,13008,-1888.3200000000004,217,7,1,16,730,67,-122.24000000000001
1778655051,155,34172,0.02,13037,-1896.1900000000028,208,5,0,16,735,67,11.643605462880123
1778655059,156,34251,0.02,13047,-861.2900000000006,79,2,1,16,737,68,-122.64
1778655061,157,34276,0.02,13056,-364.8,25,0,1,16,737,69,-122.80000000000001
1778655089,158,34568,0.02,13105,-2389.340000000001,292,4,0,16,741,69,10.198502885446938
1778655105,159,34734,0.02,13128,-1675.6499999999994,166,4,1,16,745,70,-122.48
1778655128,160,34984,0.02,13167,-2276.8800000000024,250,7,1,16,752,71,-122.24000000000001
1778655147,161,35176,0.02,13197,-1385.790000000003,192,4,0,16,756,71,-2.086
1778655177,162,35476,0.02,13238,-2640.3799999999983,300,11,1,16,767,72,-116.32
1778655216,163,35871,0.02,13301,-2091.239999999999,395,14,1,16,781,73,-116.08
1778655225,164,35955,0.02,13319,-715.9499999999998,84,1,1,16,782,74,-122.72000000000001
1778655254,165,36256,0.02,13363,-2478.0299999999975,301,8,0,16,790,74,4.990957277208016
1778655267,166,36393,0.02,13380,-579.9100000000001,137,6,1,16,796,75,-116.72
1778655294,167,36677,0.02,13434,-2438.9999999999973,284,4,1,16,800,76,-122.48
1778655330,168,37047,0.02,13493,-2854.699999999992,370,5,0,16,805,76,10.179311022133426
1778655337,169,37114,0.02,13496,-423.2400000000003,67,2,0,16,807,76,-1.946
1778655352,170,37273,0.02,13516,-2553.3000000000015,159,2,0,16,809,76,13.1142569764959
1778655372,171,37482,0.02,13544,-2127.470000000001,209,4,0,16,813,76,-5.5737748389917225
1778655393,172,37684,0.02,13595,-1173.9800000000012,202,7,1,16,820,77,-116.64
1778655409,173,37851,0.02,13633,-1568.7299999999977,167,2,0,16,822,77,22.560228581938755
1778655433,174,38099,0.02,13674,-1683.6299999999997,248,7,0,16,829,77,0.3962369999999999
1778655453,175,38300,0.02,13729,-2496.009999999996,201,2,0,16,831,77,-0.8753195809112135
1778655480,176,38580,0.02,13774,-3514.809999999999,280,3,0,16,834,77,6.6308162146866465
1778655514,177,38931,0.02,13846,-3485.0299999999975,351,7,1,16,841,78,-116.64
1778655542,178,39219,0.02,13887,-2755.949999999992,288,4,0,16,845,78,-4.386
1778655563,179,39436,0.02,13928,-1521.110000000002,217,5,1,16,850,79,-122.4
1778655591,180,39726,0.02,13961,-2255.1099999999983,290,3,1,16,853,80,-122.56
1778655621,181,40041,0.02,14010,-3002.6799999999957,315,6,1,16,859,81,-116.72
1778655644,182,40289,0.02,14040,-2143.209999999999,248,8,0,16,867,81,-4.266000000000001
1778655670,183,40561,0.02,14066,-2764.8499999999985,272,6,1,16,873,82,-122.32000000000001
1778655687,184,40733,0.02,14081,-1968.9299999999987,172,2,0,16,875,82,1.8364632933224119
1778655716,185,41028,0.02,14120,-1189.2100000000012,295,8,1,16,883,83,-122.16000000000001
1778655749,186,41365,0.02,14167,-3028.69,337,7,1,16,890,84,-122.24000000000001
1778655779,187,41673,0.02,14259,-1939.369999999999,308,9,1,16,899,85,-116.48
1778655795,188,41850,0.02,14283,-1480.19,177,6,1,16,905,86,-116.72
1778655818,189,42091,0.02,14321,-2660.519999999999,241,5,1,16,910,87,-122.4
1778655859,190,42529,0.02,14372,-3417.1600000000058,438,15,0,16,925,87,4.893999999999999
1778655868,191,42623,0.02,14389,149.14000000000013,94,5,1,16,930,88,-121.92
